"Status","Year","Parent_department","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Female","890","880","29870","26970"
"In post","2021","Attorney General's Departments","20-29","Male","430","420","30850","26970"
"In post","2021","Attorney General's Departments","30-39","Female","1440","1320","44520","49710"
"In post","2021","Attorney General's Departments","30-39","Male","730","730","45760","50500"
"In post","2021","Attorney General's Departments","40-49","Female","1860","1630","47840","51250"
"In post","2021","Attorney General's Departments","40-49","Male","910","900","49230","51250"
"In post","2021","Attorney General's Departments","50-59","Female","1800","1640","46170","43390"
"In post","2021","Attorney General's Departments","50-59","Male","1090","1070","52650","55610"
"In post","2021","Attorney General's Departments","60-64","Female","310","260","43050","33740"
"In post","2021","Attorney General's Departments","60-64","Male","230","200","54330","55610"
"In post","2021","Attorney General's Departments","65+","Female","70","50","40920","30110"
"In post","2021","Attorney General's Departments","65+","Male","70","60","49660","55610"
"In post","2021","Cabinet Office","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Female","1930","1920","33620","29250"
"In post","2021","Cabinet Office","20-29","Male","1470","1470","34410","32000"
"In post","2021","Cabinet Office","30-39","Female","1240","1200","48150","52630"
"In post","2021","Cabinet Office","30-39","Male","1130","1130","50090","54700"
"In post","2021","Cabinet Office","40-49","Female","970","930","55610","54700"
"In post","2021","Cabinet Office","40-49","Male","870","870","61030","56670"
"In post","2021","Cabinet Office","50-59","Female","750","730","51760","49700"
"In post","2021","Cabinet Office","50-59","Male","760","750","61890","56190"
"In post","2021","Cabinet Office","60-64","Female","120","90","42120","33630"
"In post","2021","Cabinet Office","60-64","Male","150","140","57280","49700"
"In post","2021","Cabinet Office","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","Female","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","20-29","Male","50","50","37210","36500"
"In post","2021","Chancellor's other departments","30-39","Female","50","40","[c]","[c]"
"In post","2021","Chancellor's other departments","30-39","Male","50","50","60270","53750"
"In post","2021","Chancellor's other departments","40-49","Female","50","50","58850","53320"
"In post","2021","Chancellor's other departments","40-49","Male","60","60","72590","65110"
"In post","2021","Chancellor's other departments","50-59","Female","40","30","[c]","[c]"
"In post","2021","Chancellor's other departments","50-59","Male","50","50","[c]","[c]"
"In post","2021","Chancellor's other departments","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Female","30","30","[c]","[c]"
"In post","2021","Charity Commission","20-29","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Female","50","50","34590","29160"
"In post","2021","Charity Commission","30-39","Male","50","50","34960","31810"
"In post","2021","Charity Commission","40-49","Female","80","70","36560","30320"
"In post","2021","Charity Commission","40-49","Male","50","50","38510","29520"
"In post","2021","Charity Commission","50-59","Female","70","70","34850","29690"
"In post","2021","Charity Commission","50-59","Male","50","40","[c]","[c]"
"In post","2021","Charity Commission","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","20-29","Female","80","80","39840","34570"
"In post","2021","Competition and Markets Authority","20-29","Male","70","70","37320","33610"
"In post","2021","Competition and Markets Authority","30-39","Female","160","160","56750","56090"
"In post","2021","Competition and Markets Authority","30-39","Male","140","130","63520","59990"
"In post","2021","Competition and Markets Authority","40-49","Female","120","110","71050","72430"
"In post","2021","Competition and Markets Authority","40-49","Male","100","100","71540","72430"
"In post","2021","Competition and Markets Authority","50-59","Female","70","60","64580","59940"
"In post","2021","Competition and Markets Authority","50-59","Male","90","80","70920","59940"
"In post","2021","Competition and Markets Authority","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","Female","1510","1500","35390","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","20-29","Male","1400","1400","36840","33860"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","Female","1680","1580","41320","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","30-39","Male","1760","1740","43410","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","Female","1540","1400","42470","39540"
"In post","2021","Department for Business, Energy and Industrial Strategy","40-49","Male","1520","1490","46790","43700"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","Female","1350","1260","38540","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","50-59","Male","1550","1530","45700","42290"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","Female","290","250","33040","27880"
"In post","2021","Department for Business, Energy and Industrial Strategy","60-64","Male","310","270","41870","39280"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","Female","100","80","32010","26680"
"In post","2021","Department for Business, Energy and Industrial Strategy","65+","Male","130","100","42270","41840"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","Female","380","380","39990","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","20-29","Male","300","300","42400","39020"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","Female","340","330","52100","52130"
"In post","2021","Department for Digital, Culture, Media and Sport","30-39","Male","270","270","52820","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","Female","150","140","57440","55650"
"In post","2021","Department for Digital, Culture, Media and Sport","40-49","Male","130","130","58560","58760"
"In post","2021","Department for Digital, Culture, Media and Sport","50-59","Female","80","80","53910","52130"
"In post","2021","Department for Digital, Culture, Media and Sport","50-59","Male","90","90","54260","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","20-29","Female","980","970","35730","32940"
"In post","2021","Department for Education","20-29","Male","640","640","35110","32940"
"In post","2021","Department for Education","30-39","Female","1280","1200","44330","40940"
"In post","2021","Department for Education","30-39","Male","860","850","43640","40510"
"In post","2021","Department for Education","40-49","Female","1230","1130","47140","46170"
"In post","2021","Department for Education","40-49","Male","890","880","48280","49860"
"In post","2021","Department for Education","50-59","Female","990","940","44030","39080"
"In post","2021","Department for Education","50-59","Male","720","720","49970","50190"
"In post","2021","Department for Education","60-64","Female","130","130","44200","40300"
"In post","2021","Department for Education","60-64","Male","140","130","47630","49860"
"In post","2021","Department for Education","65+","Female","40","30","[c]","[c]"
"In post","2021","Department for Education","65+","Male","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","20-29","Female","1130","1120","30480","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","20-29","Male","810","800","30740","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","30-39","Female","1470","1350","36180","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","30-39","Male","1010","1010","36710","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","40-49","Female","1750","1550","37240","34080"
"In post","2021","Department for Environment, Food and Rural Affairs","40-49","Male","1310","1300","39460","36520"
