"Status","Year","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Attorney General's Departments","440","410","38240","34480"
"In post","2021","East Midlands (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","210","200","32140","30950"
"In post","2021","East Midlands (England)","Department for Education","290","280","41750","37100"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","230","220","33000","29690"
"In post","2021","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","650","620","33710","29080"
"In post","2021","East Midlands (England)","Department for Work and Pensions","4890","4340","27250","27570"
"In post","2021","East Midlands (England)","Department of Health and Social Care","190","170","44240","37190"
"In post","2021","East Midlands (England)","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","870","790","30980","27130"
"In post","2021","East Midlands (England)","HM Revenue and Customs","3940","3680","32020","31810"
"In post","2021","East Midlands (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office","220","210","28000","25390"
"In post","2021","East Midlands (England)","Ministry of Defence","1820","1760","28330","25000"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","7140","6630","27260","24470"
"In post","2021","East Midlands (England)","National Crime Agency","160","160","36870","36520"
"In post","2021","East Midlands (England)","Office for Standards in Education","170","160","44560","39850"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","480","430","40480","34480"
"In post","2021","East of England","Cabinet Office","120","110","46760","38460"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","210","200","33440","32730"
"In post","2021","East of England","Department for Education","70","70","46610","49860"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","840","800","34160","30220"
"In post","2021","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","400","380","29920","26780"
"In post","2021","East of England","Department for Work and Pensions","4700","4220","28570","27570"
"In post","2021","East of England","Department of Health and Social Care","730","680","44100","38890"
"In post","2021","East of England","Food Standards Agency","60","60","27660","26750"
"In post","2021","East of England","HM Land Registry","280","260","31050","27130"
"In post","2021","East of England","HM Revenue and Customs","1840","1680","32130","31810"
"In post","2021","East of England","HM Treasury","70","70","30240","23780"
"In post","2021","East of England","Home Office","1960","1770","26450","25220"
"In post","2021","East of England","Ministry of Defence","3810","3680","31710","29200"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","80","70","40140","37050"
"In post","2021","East of England","Ministry of Justice","6530","6120","28730","27700"
"In post","2021","East of England","National Crime Agency","140","130","38530","37800"
"In post","2021","East of England","Office for Standards in Education","100","100","62230","64500"
