"Status","Year","Profession_of_post","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","HM Prison and Probation Service","50","50","46280","47640"
"In post","2021","Commercial","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Crown Commercial Service","90","80","34770","34800"
"In post","2021","Commercial","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","HM Prison and Probation Service","60","60","47930","46730"
"In post","2021","Commercial","East of England","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Ministry of Defence (excl. agencies)","50","50","35640","34710"
"In post","2021","Commercial","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Department for Transport (excl. agencies)","90","90","51000","54110"
"In post","2021","Commercial","London","Department of Health and Social Care (excl. agencies)","110","100","55070","53360"
"In post","2021","Commercial","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","HM Prison and Probation Service","240","230","50190","46600"
"In post","2021","Commercial","London","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Home Office (incl. agencies)","60","60","42660","43180"
"In post","2021","Commercial","London","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","London","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Ministry of Justice (excl. agencies)","50","50","39960","37920"
"In post","2021","Commercial","London","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Valuation Office Agency","[c]","[c]","[c]","[c]"
