"Status","Year","Function_of_post","Ethnicity","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Inner London - East","80","70","45250","42120"
"In post","2021","Analysis","Asian","Inner London - West","240","240","45280","41760"
"In post","2021","Analysis","Asian","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Eastern Scotland","[c]","[c]","[c]","[c]"
