"Status","Year","Responsibility_level","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Attorney General's Departments","Asian","170","160","22800","23520"
"In post","2021","AA/AO","Attorney General's Departments","Black","110","100","23240","23520"
"In post","2021","AA/AO","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Mixed","40","30","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Unknown","190","170","21820","21950"
"In post","2021","AA/AO","Attorney General's Departments","White","990","910","22190","21950"
"In post","2021","AA/AO","Cabinet Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Unknown","180","170","21470","20920"
"In post","2021","AA/AO","Cabinet Office","White","310","290","21770","20920"
"In post","2021","AA/AO","Chancellor's other departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Asian","90","80","21900","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Black","40","40","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Undeclared","50","50","22060","22490"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Unknown","450","440","21110","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","White","830","740","21770","21140"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Mixed","[c]","[c]","[c]","[c]"
