"Status","Year","Profession_of_post","Disability","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","AA/AO","30","30","[c]","[c]"
"In post","2021","Commercial","Declared disabled","EO","60","60","26590","26670"
"In post","2021","Commercial","Declared disabled","G6/G7","80","70","59320","56490"
"In post","2021","Commercial","Declared disabled","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","SEO/HEO","300","290","38190","38010"
"In post","2021","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","AA/AO","150","140","22120","21590"
"In post","2021","Commercial","Declared non-disabled","EO","480","460","25990","26510"
"In post","2021","Commercial","Declared non-disabled","G6/G7","700","680","59630","57200"
"In post","2021","Commercial","Declared non-disabled","SCS","60","60","90190","83090"
"In post","2021","Commercial","Declared non-disabled","SEO/HEO","1970","1910","37800","37320"
"In post","2021","Commercial","Declared non-disabled","Unknown","150","150","38350","35230"
"In post","2021","Commercial","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","EO","50","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","G6/G7","70","70","62400","58440"
"In post","2021","Commercial","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","SEO/HEO","200","200","39970","39990"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","70","60","22890","22760"
"In post","2021","Commercial","Unknown","EO","120","120","25460","25000"
"In post","2021","Commercial","Unknown","G6/G7","170","170","54810","53360"
"In post","2021","Commercial","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","570","550","36010","36200"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","EO","60","60","27510","26780"
"In post","2021","Communications","Declared disabled","G6/G7","40","40","[c]","[c]"
