"Status","Year","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","580","550","41200","37320"
"In post","2021","Analysis","Declared non-disabled","4540","4370","44490","39850"
"In post","2021","Analysis","Undeclared","370","360","43190","41500"
"In post","2021","Analysis","Unknown","1720","1660","40480","36160"
"In post","2021","Commercial","Declared disabled","570","550","39000","36480"
"In post","2021","Commercial","Declared non-disabled","3980","3860","43320","38280"
"In post","2021","Commercial","Undeclared","390","370","42330","38630"
"In post","2021","Commercial","Unknown","2040","1990","54090","50540"
"In post","2021","Communications","Declared disabled","550","520","32100","29110"
"In post","2021","Communications","Declared non-disabled","4730","4540","35700","31810"
"In post","2021","Communications","Undeclared","360","350","35930","31810"
"In post","2021","Communications","Unknown","2580","2500","33420","27500"
"In post","2021","Counter Fraud","Declared disabled","820","750","33200","31810"
"In post","2021","Counter Fraud","Declared non-disabled","5930","5590","34520","31810"
"In post","2021","Counter Fraud","Undeclared","650","610","35770","31810"
"In post","2021","Counter Fraud","Unknown","2220","2100","31660","29570"
"In post","2021","Debt","Declared disabled","380","320","23060","21440"
"In post","2021","Debt","Declared non-disabled","2310","2060","24160","21440"
"In post","2021","Debt","Undeclared","210","180","24340","21440"
"In post","2021","Debt","Unknown","1780","1650","22080","20140"
"In post","2021","Digital, Data & Technology","Declared disabled","1080","1040","39210","35900"
"In post","2021","Digital, Data & Technology","Declared non-disabled","8520","8260","42290","38630"
"In post","2021","Digital, Data & Technology","Undeclared","680","660","40800","38450"
"In post","2021","Digital, Data & Technology","Unknown","3320","3250","40540","37050"
"In post","2021","Finance","Declared disabled","820","760","37560","33300"
"In post","2021","Finance","Declared non-disabled","6330","6010","40060","36160"
"In post","2021","Finance","Undeclared","510","490","39100","35300"
"In post","2021","Finance","Unknown","1740","1650","36680","32790"
"In post","2021","Grants Management","Declared disabled","150","140","25600","21050"
"In post","2021","Grants Management","Declared non-disabled","1690","1540","25420","21050"
"In post","2021","Grants Management","Undeclared","40","40","[c]","[c]"
"In post","2021","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","1220","1150","38620","33730"
"In post","2021","Human Resources","Declared non-disabled","6330","6000","38200","33300"
"In post","2021","Human Resources","Undeclared","510","480","37330","33300"
"In post","2021","Human Resources","Unknown","1530","1450","34240","30750"
"In post","2021","Internal Audit","Declared disabled","90","90","44320","40020"
"In post","2021","Internal Audit","Declared non-disabled","570","540","46270","43330"
"In post","2021","Internal Audit","Undeclared","60","50","49930","49540"
"In post","2021","Internal Audit","Unknown","50","40","[c]","[c]"
"In post","2021","Legal","Declared disabled","1250","1150","43910","40970"
"In post","2021","Legal","Declared non-disabled","9160","8470","47120","49580"
"In post","2021","Legal","Undeclared","370","350","50640","50820"
"In post","2021","Legal","Unknown","4070","3780","36430","29350"
"In post","2021","No function","Declared disabled","17510","16130","31160","28120"
"In post","2021","No function","Declared non-disabled","113380","105780","33630","29750"
"In post","2021","No function","Undeclared","13860","12800","32720","31650"
"In post","2021","No function","Unknown","40190","37890","31470","27700"
"In post","2021","Project Delivery","Declared disabled","2640","2530","39250","36480"
"In post","2021","Project Delivery","Declared non-disabled","19710","19070","41480","38630"
"In post","2021","Project Delivery","Undeclared","1800","1740","40100","37940"
"In post","2021","Project Delivery","Unknown","4240","4090","41990","38630"
"In post","2021","Property","Declared disabled","740","700","34620","32140"
"In post","2021","Property","Declared non-disabled","6340","6040","35380","33020"
"In post","2021","Property","Undeclared","620","590","35890","33300"
"In post","2021","Property","Unknown","1620","1550","30180","26530"
"In post","2021","Security","Declared disabled","650","640","31990","28890"
"In post","2021","Security","Declared non-disabled","5340","5220","31480","27380"
"In post","2021","Security","Undeclared","690","680","34750","34770"
"In post","2021","Security","Unknown","2080","2040","30750","27680"
"In post","2021","Unknown","Declared disabled","21510","19240","28670","27570"
"In post","2021","Unknown","Declared non-disabled","122060","111710","30550","27570"
"In post","2021","Unknown","Undeclared","7640","7150","30080","27570"
"In post","2021","Unknown","Unknown","15510","14950","35310","30650"
"In post","2022","Analysis","Declared disabled","720","680","41570","38000"
"In post","2022","Analysis","Declared non-disabled","5680","5470","44310","39490"
"In post","2022","Analysis","Undeclared","270","260","44420","40350"
"In post","2022","Analysis","Unknown","1790","1730","41970","38160"
"In post","2022","Commercial","Declared disabled","460","440","39480","37300"
"In post","2022","Commercial","Declared non-disabled","3500","3390","43650","38980"
"In post","2022","Commercial","Undeclared","270","270","43000","40000"
"In post","2022","Commercial","Unknown","2380","2340","55010","53320"
"In post","2022","Communications","Declared disabled","610","580","34810","33080"
"In post","2022","Communications","Declared non-disabled","5010","4830","36740","33080"
"In post","2022","Communications","Undeclared","320","310","35820","33080"
"In post","2022","Communications","Unknown","2610","2540","35050","28990"
"In post","2022","Counter Fraud","Declared disabled","1980","1790","31070","27570"
"In post","2022","Counter Fraud","Declared non-disabled","11360","10490","32530","29290"
"In post","2022","Counter Fraud","Undeclared","950","890","34280","31990"
"In post","2022","Counter Fraud","Unknown","2730","2590","32960","31020"
"In post","2022","Debt","Declared disabled","810","700","23410","21260"
"In post","2022","Debt","Declared non-disabled","4260","3750","23970","21260"
"In post","2022","Debt","Undeclared","320","290","23570","21260"
"In post","2022","Debt","Unknown","1430","1320","23510","21250"
"In post","2022","Digital, Data & Technology","Declared disabled","2010","1920","39100","35310"
"In post","2022","Digital, Data & Technology","Declared non-disabled","14660","14220","41760","38550"
"In post","2022","Digital, Data & Technology","Undeclared","1200","1170","40460","37220"
"In post","2022","Digital, Data & Technology","Unknown","4190","4120","41610","38250"
"In post","2022","Finance","Declared disabled","1140","1050","37610","33370"
"In post","2022","Finance","Declared non-disabled","8450","8010","40010","36480"
"In post","2022","Finance","Undeclared","630","600","39440","35310"
"In post","2022","Finance","Unknown","2160","2070","37600","33370"
"In post","2022","Grants Management","Declared disabled","180","160","25390","21300"
"In post","2022","Grants Management","Declared non-disabled","2090","1930","25100","21300"
"In post","2022","Grants Management","Undeclared","50","40","[c]","[c]"
"In post","2022","Human Resources","Declared disabled","1600","1510","38120","33520"
"In post","2022","Human Resources","Declared non-disabled","7860","7440","38190","33370"
"In post","2022","Human Resources","Undeclared","620","590","36630","33300"
"In post","2022","Human Resources","Unknown","1640","1570","35330","32000"
"In post","2022","Internal Audit","Declared disabled","90","90","44610","40580"
"In post","2022","Internal Audit","Declared non-disabled","560","540","46270","43430"
"In post","2022","Internal Audit","Undeclared","60","60","49660","49370"
"In post","2022","Internal Audit","Unknown","50","50","44330","40760"
"In post","2022","Legal","Declared disabled","1220","1120","44310","41920"
"In post","2022","Legal","Declared non-disabled","8500","7910","47690","50500"
"In post","2022","Legal","Undeclared","320","290","51510","53490"
"In post","2022","Legal","Unknown","2370","2240","44000","43920"
"In post","2022","No function","Declared disabled","32960","29830","29980","27570"
"In post","2022","No function","Declared non-disabled","177610","164220","32160","27570"
"In post","2022","No function","Undeclared","16070","14830","31750","29060"
"In post","2022","No function","Unknown","47890","45170","32260","28010"
"In post","2022","Project Delivery","Declared disabled","2620","2490","39750","37310"
"In post","2022","Project Delivery","Declared non-disabled","18760","18030","42330","40000"
"In post","2022","Project Delivery","Undeclared","1390","1330","41720","40180"
"In post","2022","Project Delivery","Unknown","3800","3670","43170","40470"
"In post","2022","Property","Declared disabled","780","740","36700","33300"
"In post","2022","Property","Declared non-disabled","6280","6010","37870","33370"
"In post","2022","Property","Undeclared","650","620","37610","33630"
"In post","2022","Property","Unknown","1840","1780","32460","28500"
"In post","2022","Security","Declared disabled","860","830","33120","31930"
"In post","2022","Security","Declared non-disabled","6710","6550","32850","30810"
"In post","2022","Security","Undeclared","870","850","35060","35200"
"In post","2022","Security","Unknown","2250","2210","32130","29130"
"In post","2022","Unknown","Declared disabled","6590","6200","33650","29080"
"In post","2022","Unknown","Declared non-disabled","53410","50460","34910","30020"
"In post","2022","Unknown","Undeclared","3510","3320","33410","29370"
"In post","2022","Unknown","Unknown","16150","15620","35880","31220"
"Leaver CS","2021","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Declared non-disabled","130","130","39690","32780"
"Leaver CS","2021","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","110","110","29430","24410"
"Leaver CS","2021","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Declared non-disabled","140","130","47610","40020"
"Leaver CS","2021","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","100","100","55840","49650"
"Leaver CS","2021","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared non-disabled","140","130","38540","32750"
"Leaver CS","2021","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","90","80","36440","34490"
"Leaver CS","2021","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared non-disabled","200","200","43140","38450"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","170","170","41100","38220"
"Leaver CS","2021","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared non-disabled","150","140","43310","39790"
"Leaver CS","2021","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Unknown","90","80","24950","21050"
"Leaver CS","2021","Human Resources","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared non-disabled","190","180","38360","33560"
"Leaver CS","2021","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","80","70","39620","31610"
"Leaver CS","2021","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","Legal","Declared non-disabled","380","320","47830","50000"
"Leaver CS","2021","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","230","210","36390","27350"
"Leaver CS","2021","No function","Declared disabled","890","780","27490","22350"
"Leaver CS","2021","No function","Declared non-disabled","4900","4390","33150","26140"
"Leaver CS","2021","No function","Undeclared","800","680","32350","26780"
"Leaver CS","2021","No function","Unknown","2560","2410","31280","24430"
"Leaver CS","2021","Project Delivery","Declared disabled","90","80","35690","32680"
"Leaver CS","2021","Project Delivery","Declared non-disabled","530","500","39390","35660"
"Leaver CS","2021","Project Delivery","Undeclared","60","50","36150","33670"
"Leaver CS","2021","Project Delivery","Unknown","170","160","35400","31100"
"Leaver CS","2021","Property","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","Property","Declared non-disabled","310","280","32560","28120"
"Leaver CS","2021","Property","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Property","Unknown","160","140","26290","24500"
"Leaver CS","2021","Security","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","Security","Declared non-disabled","200","190","30660","26930"
"Leaver CS","2021","Security","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Security","Unknown","150","150","27700","24610"
"Leaver CS","2021","Unknown","Declared disabled","1710","1400","28520","26890"
