"Status","Year","Disability","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Female","Commercial","310","290","38920","36970"
"In post","2021","Declared disabled","Female","Communications","150","140","38260","34320"
"In post","2021","Declared disabled","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Declared disabled","Female","Digital, Data and Technology","410","390","37340","33770"
"In post","2021","Declared disabled","Female","Economics","40","40","[c]","[c]"
"In post","2021","Declared disabled","Female","Finance","460","410","36210","32180"
"In post","2021","Declared disabled","Female","Human Resources","700","650","39420","35000"
"In post","2021","Declared disabled","Female","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","Declared disabled","Female","Intelligence Analysis","150","140","31150","28760"
"In post","2021","Declared disabled","Female","Internal Audit","50","40","[c]","[c]"
"In post","2021","Declared disabled","Female","International Trade","60","60","44740","39360"
"In post","2021","Declared disabled","Female","Knowledge and Information Management","140","130","33770","33300"
"In post","2021","Declared disabled","Female","Legal","580","530","48450","50520"
"In post","2021","Declared disabled","Female","Medicine","80","70","50710","38640"
"In post","2021","Declared disabled","Female","Operational Delivery","10310","9120","27340","24940"
"In post","2021","Declared disabled","Female","Operational Research","60","50","40910","38970"
"In post","2021","Declared disabled","Female","Other","1000","920","27950","24620"
"In post","2021","Declared disabled","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Female","Policy","1390","1340","43880","39330"
"In post","2021","Declared disabled","Female","Project Delivery","850","810","39060","36160"
"In post","2021","Declared disabled","Female","Property","270","250","34870","33000"
"In post","2021","Declared disabled","Female","Psychology","100","100","32800","29750"
"In post","2021","Declared disabled","Female","Science and Engineering","370","350","35310","32560"
"In post","2021","Declared disabled","Female","Security","150","150","30900","28200"
"In post","2021","Declared disabled","Female","Social Research","80","70","42580","40200"
"In post","2021","Declared disabled","Female","Statistics","80","80","42520","39090"
"In post","2021","Declared disabled","Female","Tax","710","650","34180","31810"
"In post","2021","Declared disabled","Female","Unknown","11490","9870","28250","27570"
"In post","2021","Declared disabled","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Male","Commercial","200","190","41000","40580"
"In post","2021","Declared disabled","Male","Communications","110","110","36120","34240"
"In post","2021","Declared disabled","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Male","Digital, Data and Technology","630","620","40490","37410"
"In post","2021","Declared disabled","Male","Economics","60","60","47760","51970"
"In post","2021","Declared disabled","Male","Finance","310","300","40300","37410"
"In post","2021","Declared disabled","Male","Human Resources","280","280","41120","36720"
"In post","2021","Declared disabled","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Male","Intelligence Analysis","160","150","35720","33300"
"In post","2021","Declared disabled","Male","Internal Audit","50","40","[c]","[c]"
"In post","2021","Declared disabled","Male","International Trade","50","50","[c]","[c]"
"In post","2021","Declared disabled","Male","Knowledge and Information Management","130","130","35540","32860"
"In post","2021","Declared disabled","Male","Legal","390","370","48630","50520"
"In post","2021","Declared disabled","Male","Medicine","40","40","[c]","[c]"
"In post","2021","Declared disabled","Male","Operational Delivery","7040","6610","29010","26780"
"In post","2021","Declared disabled","Male","Operational Research","80","80","43130","38630"
"In post","2021","Declared disabled","Male","Other","900","870","28960","26250"
"In post","2021","Declared disabled","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Male","Policy","1070","1050","46330","41760"
"In post","2021","Declared disabled","Male","Project Delivery","630","610","42280","40000"
"In post","2021","Declared disabled","Male","Property","300","290","35610","33300"
"In post","2021","Declared disabled","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Male","Science and Engineering","750","730","37500","37210"
"In post","2021","Declared disabled","Male","Security","450","430","32240","28970"
"In post","2021","Declared disabled","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Male","Statistics","90","90","43580","38090"
"In post","2021","Declared disabled","Male","Tax","650","610","36370","31940"
"In post","2021","Declared disabled","Male","Unknown","6000","5660","29240","27570"
"In post","2021","Declared disabled","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Female","Commercial","1880","1780","38990","36460"
"In post","2021","Declared non-disabled","Female","Communications","1530","1440","41700","38630"
"In post","2021","Declared non-disabled","Female","Corporate Finance","70","70","44410","41990"
"In post","2021","Declared non-disabled","Female","Counter Fraud","280","260","34380","33100"
"In post","2021","Declared non-disabled","Female","Digital, Data and Technology","3020","2860","41220","38450"
"In post","2021","Declared non-disabled","Female","Economics","540","510","48820","51970"
"In post","2021","Declared non-disabled","Female","Finance","3630","3370","38460","33930"
"In post","2021","Declared non-disabled","Female","Human Resources","3760","3510","38690","33900"
"In post","2021","Declared non-disabled","Female","Inspector of Education and Training","500","480","64840","64500"
"In post","2021","Declared non-disabled","Female","Intelligence Analysis","1130","1050","32670","29250"
"In post","2021","Declared non-disabled","Female","Internal Audit","300","280","43710","41640"
"In post","2021","Declared non-disabled","Female","International Trade","320","310","47580","45960"
"In post","2021","Declared non-disabled","Female","Knowledge and Information Management","870","810","35520","32180"
"In post","2021","Declared non-disabled","Female","Legal","4810","4360","49970","51250"
"In post","2021","Declared non-disabled","Female","Medicine","1100","980","49860","37890"
"In post","2021","Declared non-disabled","Female","Operational Delivery","63610","56550","27990","25480"
"In post","2021","Declared non-disabled","Female","Operational Research","290","270","43700","40480"
"In post","2021","Declared non-disabled","Female","Other","7390","6960","29800","25440"
"In post","2021","Declared non-disabled","Female","Planning","80","70","45330","40720"
"In post","2021","Declared non-disabled","Female","Planning Inspectors","90","80","58080","58810"
"In post","2021","Declared non-disabled","Female","Policy","10590","10110","46650","42170"
"In post","2021","Declared non-disabled","Female","Project Delivery","5720","5470","40740","37730"
"In post","2021","Declared non-disabled","Female","Property","1910","1780","35070","33000"
"In post","2021","Declared non-disabled","Female","Psychology","890","850","35970","31180"
"In post","2021","Declared non-disabled","Female","Science and Engineering","3040","2820","37970","36330"
"In post","2021","Declared non-disabled","Female","Security","1180","1130","32130","28950"
