"Status","Year","Region_ITL1","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","40-49","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","50-59","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","40-49","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","20-29","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","30-39","70","60","37090","32580"
"In post","2021","East Midlands (England)","Digital, Data and Technology","40-49","90","80","37430","35900"
"In post","2021","East Midlands (England)","Digital, Data and Technology","50-59","70","70","37410","34590"
"In post","2021","East Midlands (England)","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","30-39","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","40-49","60","60","38880","36040"
"In post","2021","East Midlands (England)","Finance","50-59","70","70","38170","33630"
"In post","2021","East Midlands (England)","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","20-29","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","30-39","70","70","36840","31970"
"In post","2021","East Midlands (England)","Human Resources","40-49","130","120","39170","33950"
"In post","2021","East Midlands (England)","Human Resources","50-59","110","110","39320","38630"
"In post","2021","East Midlands (England)","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","50-59","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","30-39","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","40-49","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","20-29","60","60","30260","25560"
"In post","2021","East Midlands (England)","Legal","30-39","110","100","41640","46020"
"In post","2021","East Midlands (England)","Legal","40-49","160","150","43020","43320"
