"Status","Year","Sex","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Operational Delivery","280","260","29410","25870"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Other","40","30","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Policy","50","50","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Unknown","490","440","31840","27570"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Operational Delivery","210","180","24290","21490"
"In post","2021","Female","Angus and Dundee City","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Tax","40","40","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Unknown","870","780","26580","23340"
"In post","2021","Female","Antrim and Newtownabbey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Finance","[c]","[c]","[c]","[c]"
