"Status","Year","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","60","50","40630","38530"
"In post","2021","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","40","40","[c]","[c]"
"In post","2021","Analysis","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","150","140","39320","34950"
"In post","2021","Analysis","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","230","220","67630","60780"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","350","340","40800","37700"
"In post","2021","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","50","50","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","40","40","[c]","[c]"
"In post","2021","Analysis","Darlington","30","30","[c]","[c]"
"In post","2021","Analysis","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","120","110","33040","29270"
"In post","2021","Analysis","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","140","140","41610","41890"
"In post","2021","Analysis","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","80","70","39950","38630"
"In post","2021","Analysis","Manchester","220","210","38190","33600"
"In post","2021","Analysis","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","1040","990","36370","36030"
"In post","2021","Analysis","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","30","30","[c]","[c]"
"In post","2021","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","40","30","[c]","[c]"
"In post","2021","Analysis","Sheffield","130","120","44020","42580"
"In post","2021","Analysis","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","450","430","37290","36030"
"In post","2021","Analysis","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Suffolk","350","330","34350","30220"
"In post","2021","Analysis","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","680","660","50780","46850"
"In post","2021","Analysis","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","2490","2430","46680","42980"
"In post","2021","Analysis","Wiltshire","110","110","37690","37320"
"In post","2021","Analysis","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","60","60","37880","31830"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","640","620","44040","40580"
"In post","2021","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","80","80","47790","40830"
"In post","2021","Commercial","Blackpool","30","30","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","80","80","41650","39830"
