"Status","Year","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Asian","16320","14710","32230","28950"
"In post","2021","Female","Black","10050","9520","32370","30330"
"In post","2021","Female","Chinese","740","690","36940","32120"
"In post","2021","Female","Mixed","4820","4500","34200","30220"
"In post","2021","Female","Other ethnicity","1410","1310","35610","31060"
"In post","2021","Female","Undeclared","8550","7620","32370","28130"
"In post","2021","Female","Unknown","33120","30620","31710","27570"
"In post","2021","Female","White","187670","168630","32480","27570"
"In post","2021","Male","Asian","12840","12470","33190","29290"
"In post","2021","Male","Black","5540","5440","33470","31060"
"In post","2021","Male","Chinese","510","500","36630","32560"
"In post","2021","Male","Mixed","3450","3370","36650","31810"
"In post","2021","Male","Other ethnicity","1180","1150","38440","33000"
"In post","2021","Male","Undeclared","12010","11550","36050","32100"
"In post","2021","Male","Unknown","33930","33100","33750","29290"
"In post","2021","Male","White","152690","147600","35720","31650"
"In post","2021","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Female","Asian","18710","17030","33090","29290"
"In post","2022","Female","Black","10920","10370","33010","31020"
"In post","2022","Female","Mixed","5390","5050","34870","31000"
"In post","2022","Female","Other ethnicity","1430","1330","35650","31060"
"In post","2022","Female","Undeclared","8290","7410","33140","28920"
"In post","2022","Female","Unknown","36620","34050","32510","27570"
"In post","2022","Female","White","196710","177950","33310","27770"
"In post","2022","Male","Asian","14940","14550","34070","30450"
"In post","2022","Male","Black","6160","6040","34010","31060"
"In post","2022","Male","Mixed","3780","3700","37000","32790"
"In post","2022","Male","Other ethnicity","1230","1200","38120","33200"
"In post","2022","Male","Undeclared","11910","11440","36890","33300"
"In post","2022","Male","Unknown","35870","34950","34570","30210"
"In post","2022","Male","White","158110","153020","36430","31990"
"In post","2022","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Female","Asian","660","560","30190","25880"
"Leaver CS","2021","Female","Black","350","320","30820","26410"
"Leaver CS","2021","Female","Chinese","40","30","[c]","[c]"
"Leaver CS","2021","Female","Mixed","220","200","29910","25110"
"Leaver CS","2021","Female","Other ethnicity","70","60","34960","27660"
"Leaver CS","2021","Female","Undeclared","590","490","29080","26120"
"Leaver CS","2021","Female","Unknown","3300","2910","30760","26510"
"Leaver CS","2021","Female","White","9400","7790","30860","26670"
"Leaver CS","2021","Male","Asian","510","480","31360","27570"
"Leaver CS","2021","Male","Black","250","240","32180","27570"
"Leaver CS","2021","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Male","Mixed","170","160","34030","29390"
"Leaver CS","2021","Male","Other ethnicity","60","60","[c]","[c]"
"Leaver CS","2021","Male","Undeclared","730","660","34480","31100"
"Leaver CS","2021","Male","Unknown","3250","3010","33800","28000"
"Leaver CS","2021","Male","White","8110","7350","35070","28910"
"Leaver CS","2021","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","White","60","60","47860","40860"
"Leaver CS","2022","Female","Asian","1310","1150","32510","27680"
"Leaver CS","2022","Female","Black","930","860","31930","30370"
"Leaver CS","2022","Female","Mixed","520","490","31160","27570"
"Leaver CS","2022","Female","Other ethnicity","150","130","34230","31060"
"Leaver CS","2022","Female","Undeclared","750","620","31590","27570"
"Leaver CS","2022","Female","Unknown","4650","3990","30850","26350"
"Leaver CS","2022","Female","White","15120","12830","31960","27570"
"Leaver CS","2022","Male","Asian","1100","1030","34410","29290"
"Leaver CS","2022","Male","Black","530","500","33340","30720"
"Leaver CS","2022","Male","Mixed","360","340","33670","27570"
"Leaver CS","2022","Male","Other ethnicity","130","120","35970","31060"
"Leaver CS","2022","Male","Undeclared","1040","940","35700","31520"
"Leaver CS","2022","Male","Unknown","4640","4240","33650","28000"
"Leaver CS","2022","Male","White","12990","11940","35120","29190"
"Leaver CS","2022","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Asian","540","510","35190","31510"
"Leaver Dept.","2021","Female","Black","310","300","34220","31560"
"Leaver Dept.","2021","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Mixed","180","170","38660","33260"
"Leaver Dept.","2021","Female","Other ethnicity","40","30","[c]","[c]"
"Leaver Dept.","2021","Female","Undeclared","180","170","36380","33330"
"Leaver Dept.","2021","Female","Unknown","1690","1510","37290","32430"
"Leaver Dept.","2021","Female","White","3670","3430","37620","32040"
"Leaver Dept.","2021","Male","Asian","430","420","34400","31080"
"Leaver Dept.","2021","Male","Black","170","160","33570","31060"
"Leaver Dept.","2021","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Mixed","150","140","39550","33930"
"Leaver Dept.","2021","Male","Other ethnicity","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Undeclared","250","240","38520","34360"
