"Status","Year","Organisation","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","Unknown","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","No function","490","450","32330","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Project Delivery","60","60","43070","39580"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","No function","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","No function","110","90","33490","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","No function","220","210","26530","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Commercial","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","No function","1780","1680","30420","27850"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Project Delivery","50","50","29760","29180"
"In post","2021","Animal and Plant Health Agency","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","No function","130","130","27530","24920"
"In post","2021","Animal and Plant Health Agency","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","No function","320","310","33310","30230"
"In post","2021","Animal and Plant Health Agency","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","No function","320","290","30420","26520"
"In post","2021","Animal and Plant Health Agency","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
