"Status","Year","Responsibility_level","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Attorney General's Departments","Female","1120","1000","22310","21950"
"In post","2021","AA/AO","Attorney General's Departments","Male","420","410","22320","21950"
"In post","2021","AA/AO","Cabinet Office","Female","320","280","21750","20920"
"In post","2021","AA/AO","Cabinet Office","Male","240","230","21890","20920"
"In post","2021","AA/AO","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Female","950","840","21690","21000"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Male","550","540","21530","20880"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Female","80","70","21930","21000"
"In post","2021","AA/AO","Department for Education","Male","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Female","1300","1140","21520","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Male","730","720","21510","21050"
"In post","2021","AA/AO","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Female","3340","2700","20830","21590"
"In post","2021","AA/AO","Department for Transport","Male","2370","2260","23160","21590"
"In post","2021","AA/AO","Department for Work and Pensions","Female","19820","16070","21170","21010"
"In post","2021","AA/AO","Department for Work and Pensions","Male","9780","9280","21200","21010"
"In post","2021","AA/AO","Department of Health and Social Care","Female","700","610","21360","21570"
"In post","2021","AA/AO","Department of Health and Social Care","Male","280","260","21210","20740"
"In post","2021","AA/AO","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Female","330","310","25350","24750"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Male","270","270","25800","24750"
"In post","2021","AA/AO","HM Land Registry","Female","1140","1060","22470","22350"
"In post","2021","AA/AO","HM Land Registry","Male","710","690","22460","22350"
"In post","2021","AA/AO","HM Revenue and Customs","Female","12810","10430","20860","20140"
"In post","2021","AA/AO","HM Revenue and Customs","Male","8790","8300","20620","20140"
"In post","2021","AA/AO","HM Treasury","Female","40","40","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Male","30","30","[c]","[c]"
"In post","2021","AA/AO","Home Office","Female","4840","4080","22060","21430"
"In post","2021","AA/AO","Home Office","Male","3490","3300","21900","21430"
"In post","2021","AA/AO","Ministry of Defence","Female","6950","6490","21510","21000"
"In post","2021","AA/AO","Ministry of Defence","Male","8960","8810","23820","20920"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Female","140","120","22270","22560"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Male","100","100","23100","22560"
"In post","2021","AA/AO","Ministry of Justice","Female","20140","18040","22830","21500"
"In post","2021","AA/AO","Ministry of Justice","Male","20440","19600","26010","25400"
"In post","2021","AA/AO","National Crime Agency","Female","200","180","23570","24220"
"In post","2021","AA/AO","National Crime Agency","Male","130","120","24050","24220"
"In post","2021","AA/AO","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Female","160","140","21230","21160"
"In post","2021","AA/AO","Office for Standards in Education","Male","70","70","21300","21160"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
