"Status","Year","Region_ITL2","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Female","120","100","38990","30110"
"In post","2021","Bedfordshire and Hertfordshire","Attorney General's Departments","Male","60","60","49620","51120"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Female","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Transport","Male","90","90","30390","30580"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Female","780","690","29330","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions","Male","390","380","29990","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Female","190","180","44940","41010"
"In post","2021","Bedfordshire and Hertfordshire","Department of Health and Social Care","Male","140","140","44390","40850"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Female","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","Female","110","100","28400","26070"
"In post","2021","Bedfordshire and Hertfordshire","Home Office","Male","170","150","28950","27370"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Female","380","360","35440","30750"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence","Male","430","420","36440","35620"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Female","810","740","26960","24620"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Justice","Male","520","510","30510","30400"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Female","50","50","35870","35910"
"In post","2021","Bedfordshire and Hertfordshire","National Crime Agency","Male","60","60","41860","41070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Female","100","90","41740","36240"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","Male","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Female","60","60","33420","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","Male","60","60","37790","33300"
