"Status","Year","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","930","860","44430","43800"
"In post","2021","Declared disabled","Cabinet Office","710","680","43990","38420"
"In post","2021","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","1030","980","39930","35740"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","120","110","47040","39280"
"In post","2021","Declared disabled","Department for Education","720","680","41580","37100"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","1150","1090","34260","30400"
"In post","2021","Declared disabled","Department for International Trade","200","200","45110","39200"
"In post","2021","Declared disabled","Department for Transport","1390","1220","29370","26780"
"In post","2021","Declared disabled","Department for Work and Pensions","15550","13660","27300","27570"
"In post","2021","Declared disabled","Department of Health and Social Care","530","490","41070","36330"
"In post","2021","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","70","70","34990","30810"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","800","780","43620","38600"
"In post","2021","Declared disabled","HM Land Registry","490","420","30520","27130"
"In post","2021","Declared disabled","HM Revenue and Customs","5740","5130","31030","27810"
"In post","2021","Declared disabled","HM Treasury","250","240","46050","42900"
"In post","2021","Declared disabled","Home Office","3060","2810","31320","27370"
"In post","2021","Declared disabled","Ministry of Defence","5280","5070","33320","31700"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","340","330","41470","37310"
"In post","2021","Declared disabled","Ministry of Justice","8960","8350","29350","26810"
"In post","2021","Declared disabled","National Crime Agency","200","190","38020","36410"
"In post","2021","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","140","130","45350","42850"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","50","50","39210","31720"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","70","60","42190","37140"
"In post","2021","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","1740","1640","36000","33650"
"In post","2021","Declared disabled","The National Archives","30","30","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","530","460","31630","29540"
"In post","2021","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","320","300","38660","37410"
"In post","2021","Declared non-disabled","Attorney General's Departments","6760","6280","45950","49580"
"In post","2021","Declared non-disabled","Cabinet Office","4500","4390","49000","41850"
"In post","2021","Declared non-disabled","Chancellor's other departments","330","320","59720","49010"
"In post","2021","Declared non-disabled","Charity Commission","220","210","35240","29160"
"In post","2021","Declared non-disabled","Competition and Markets Authority","710","690","59490","56360"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","8810","8450","42940","40050"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","1330","1300","49620","51730"
"In post","2021","Declared non-disabled","Department for Education","5580","5370","45030","40940"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","8240","7820","35610","31680"
"In post","2021","Declared non-disabled","Department for International Trade","1410","1400","46700","41160"
"In post","2021","Declared non-disabled","Department for Transport","11030","10220","33620","27680"
"In post","2021","Declared non-disabled","Department for Work and Pensions","70540","63190","28210","27570"
"In post","2021","Declared non-disabled","Department of Health and Social Care","5870","5430","43810","38870"
"In post","2021","Declared non-disabled","ESTYN","100","90","58270","74730"
"In post","2021","Declared non-disabled","Food Standards Agency","810","780","36740","31240"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","5900","5780","47520","42540"
"In post","2021","Declared non-disabled","HM Land Registry","3690","3260","33100","30600"
"In post","2021","Declared non-disabled","HM Revenue and Customs","37410","34470","32870","30510"
"In post","2021","Declared non-disabled","HM Treasury","1830","1780","48440","49870"
"In post","2021","Declared non-disabled","Home Office","28490","26420","32000","27370"
"In post","2021","Declared non-disabled","Ministry of Defence","38140","36890","34020","32150"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","2510","2410","45990","42900"
"In post","2021","Declared non-disabled","Ministry of Justice","53190","49830","29950","26810"
"In post","2021","Declared non-disabled","National Crime Agency","1750","1700","43290","40210"
"In post","2021","Declared non-disabled","Northern Ireland Office","80","80","45530","38980"
"In post","2021","Declared non-disabled","Office for Standards in Education","1480","1420","50470","51360"
"In post","2021","Declared non-disabled","Office of Gas and Electricity Markets","1020","1010","44860","38550"
"In post","2021","Declared non-disabled","Office of Qualifications and Examinations Regulation","160","150","44400","38760"
"In post","2021","Declared non-disabled","Office of Rail and Road","290","280","54650","55430"
"In post","2021","Declared non-disabled","Other Cabinet Office Agencies","360","350","45090","38770"
"In post","2021","Declared non-disabled","Scotland Office","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Scottish Government","9830","9370","39210","34190"
"In post","2021","Declared non-disabled","The National Archives","340","330","35890","34260"
"In post","2021","Declared non-disabled","UK Export Finance","380","370","54030","49200"
"In post","2021","Declared non-disabled","UK Supreme Court","50","50","37580","32770"
