"Status","Year","Organisation","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Scotland","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","West Midlands (England)","90","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","South West (England)","60","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Wales","90","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Scotland","100","100","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Yorkshire and The Humber","70","60","31800","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","North West (England)","140","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","South East (England)","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","East Midlands (England)","100","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","East of England","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","North East (England)","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","London","200","190","42390","38670"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","South West (England)","50","50","25450","21050"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Wales","90","80","27960","21050"
"In post","2021","Animal and Plant Health Agency","Central Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire East","North West (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","City of Edinburgh","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","South West (England)","60","50","32700","26520"
"In post","2021","Animal and Plant Health Agency","Devon CC","South West (England)","210","200","27290","21050"
"In post","2021","Animal and Plant Health Agency","Dorset CC","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dumfries and Galloway","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Cumbria","North West (England)","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","East Kent","South East (England)","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Lothian and Midlothian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Riding of Yorkshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire","South West (England)","60","50","32320","30320"
"In post","2021","Animal and Plant Health Agency","Gwynedd","Wales","70","60","26690","24920"
"In post","2021","Animal and Plant Health Agency","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heart of Essex","East of England","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","London","70","70","32550","31460"
"In post","2021","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leeds","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leicestershire CC and Rutland","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Manchester","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Mid Lancashire","North West (England)","70","60","30790","26520"
"In post","2021","Animal and Plant Health Agency","North and West Norfolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire CC","Yorkshire and The Humber","130","120","31480","29180"
"In post","2021","Animal and Plant Health Agency","Northumberland","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Norwich and East Norfolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Nottingham","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Oxfordshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Perth and Kinross and Stirling","Scotland","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Powys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scottish Borders","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire CC","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Somerset","South West (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South and West Derbyshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Ayrshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Lanarkshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South Nottinghamshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West Wales","Wales","150","140","28110","25190"
"In post","2021","Animal and Plant Health Agency","Staffordshire CC","West Midlands (England)","60","60","25520","21050"
"In post","2021","Animal and Plant Health Agency","Suffolk","East of England","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Telford and Wrekin","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Thurrock","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Tyneside","North East (England)","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Surrey","South East (England)","560","530","33220","28550"
"In post","2021","Animal and Plant Health Agency","West Sussex (North East)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wiltshire","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Worcestershire","West Midlands (England)","160","150","29810","26600"
"In post","2021","Animal and Plant Health Agency","York","Yorkshire and The Humber","60","60","24060","21050"
"In post","2021","Attorney General's Office","Westminster","London","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Ards and North Down","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Belfast","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Birmingham","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Blackpool","North West (England)","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bradford","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Brighton and Hove","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bristol, City of","South West (England)","70","60","43300","38420"
"In post","2021","Cabinet Office (excl. agencies)","Buckinghamshire CC","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cambridgeshire CC","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Camden and City of London","London","100","90","54190","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Wales","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Central Hampshire","South East (England)","40","40","[c]","[c]"
