"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Counter Fraud","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Counter Fraud","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Home Office","180","160","26930","25310"
"In post","2021","Digital, Data and Technology","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Department for Education","150","140","44060","42420"
"In post","2021","Digital, Data and Technology","Analysis","Department for Transport","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Attorney General's Departments","160","160","40320","38180"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Charity Commission","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","1000","980","40720","38000"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Department for Education","650","640","39650","36780"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","710","690","43180","42440"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Department for International Trade","120","120","47030","44020"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Department for Transport","1100","1080","39530","36000"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Department for Work and Pensions","60","60","39240","33460"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Department of Health and Social Care","360","350","44810","40850"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Food Standards Agency","60","60","44630","40350"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Foreign, Commonwealth and Development Office","320","320","42140","39630"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","HM Revenue and Customs","1930","1850","39680","38630"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","HM Treasury","50","50","51630","50590"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Ministry of Defence","910","890","33770","33290"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","120","110","45790","41610"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Ministry of Justice","970","960","46790","44560"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","National Crime Agency","260","250","41070","37750"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Office for Standards in Education","80","80","45050","39850"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Office of Gas and Electricity Markets","60","60","51940","50000"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Other Cabinet Office Agencies","120","120","41820","36120"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Scottish Government","210","200","39400","35720"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","The National Archives","100","100","40050","39000"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","United Kingdom Statistics Authority","600","590","40840","36840"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Department for Education","90","90","35400","30200"
"In post","2021","Digital, Data and Technology","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Ministry of Defence","430","420","42620","42920"
"In post","2021","Digital, Data and Technology","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Home Office","1220","1200","50060","45550"
"In post","2021","Digital, Data and Technology","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Welsh Government","210","210","37690","37410"
"In post","2021","Economics","Analysis","Competition and Markets Authority","90","90","62530","59510"
"In post","2021","Economics","Analysis","Department for Business, Energy and Industrial Strategy","210","210","41510","35640"
"In post","2021","Economics","Analysis","Department for Digital, Culture, Media and Sport","80","70","53810","59730"
"In post","2021","Economics","Analysis","Department for International Trade","150","150","43340","32330"
"In post","2021","Economics","Analysis","Department for Transport","170","170","47750","54110"
"In post","2021","Economics","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","HM Revenue and Customs","100","100","45640","36160"
"In post","2021","Economics","Analysis","HM Treasury","90","80","48050","52530"
"In post","2021","Economics","Analysis","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Economics","Analysis","Ministry of Housing, Communities and Local Government","80","70","43680","35060"
"In post","2021","Economics","Analysis","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Economics","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","United Kingdom Statistics Authority","150","150","37150","32540"
"In post","2021","Economics","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Department of Health and Social Care","90","90","43100","36820"
"In post","2021","Economics","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Department for Business, Energy and Industrial Strategy","100","100","57750","57850"
"In post","2021","Economics","No function","Department for Environment, Food and Rural Affairs","160","160","44720","47550"
"In post","2021","Economics","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Foreign, Commonwealth and Development Office","70","70","45280","41980"
"In post","2021","Economics","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","HM Treasury","70","70","41280","33990"
"In post","2021","Economics","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Economics","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Foreign, Commonwealth and Development Office","110","100","54610","55620"
"In post","2021","Economics","Unknown","HM Treasury","50","50","[c]","[c]"
"In post","2021","Economics","Unknown","Home Office","110","110","46610","35070"
"In post","2021","Economics","Unknown","Welsh Government","50","50","[c]","[c]"
"In post","2021","Finance","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Ministry of Justice","60","60","31560","28350"
"In post","2021","Finance","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Attorney General's Departments","140","130","36050","31010"
"In post","2021","Finance","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","Finance","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Department for Business, Energy and Industrial Strategy","310","300","44430","41580"
"In post","2021","Finance","Finance","Department for Digital, Culture, Media and Sport","70","70","56710","58490"
"In post","2021","Finance","Finance","Department for Education","530","520","43160","41150"
"In post","2021","Finance","Finance","Department for Environment, Food and Rural Affairs","410","390","43010","38060"
"In post","2021","Finance","Finance","Department for International Trade","90","90","48730","51840"
"In post","2021","Finance","Finance","Department for Transport","400","380","39870","38110"
"In post","2021","Finance","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Department of Health and Social Care","510","500","40620","36820"
"In post","2021","Finance","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Food Standards Agency","50","50","41000","37910"
"In post","2021","Finance","Finance","Foreign, Commonwealth and Development Office","200","200","41510","36520"
"In post","2021","Finance","Finance","HM Land Registry","50","50","48870","46800"
"In post","2021","Finance","Finance","HM Revenue and Customs","1560","1370","34040","31810"
"In post","2021","Finance","Finance","HM Treasury","110","110","48060","49870"
"In post","2021","Finance","Finance","Ministry of Defence","1880","1810","37720","33300"
"In post","2021","Finance","Finance","Ministry of Housing, Communities and Local Government","130","130","49980","48620"
"In post","2021","Finance","Finance","Ministry of Justice","620","610","43990","40910"
"In post","2021","Finance","Finance","National Crime Agency","50","40","[c]","[c]"
"In post","2021","Finance","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Office for Standards in Education","40","30","[c]","[c]"
