"Status","Year","Disability","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","AA/AO","960","860","21580","21010"
"In post","2021","Declared disabled","East Midlands (England)","EO","890","810","27000","27570"
"In post","2021","Declared disabled","East Midlands (England)","G6/G7","120","110","57670","52600"
"In post","2021","Declared disabled","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SEO/HEO","490","470","35620","33840"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","200","190","30370","29200"
"In post","2021","Declared disabled","East of England","AA/AO","830","740","23120","21440"
"In post","2021","Declared disabled","East of England","EO","950","860","28470","27570"
"In post","2021","Declared disabled","East of England","G6/G7","110","110","59780","58890"
"In post","2021","Declared disabled","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","SEO/HEO","520","490","37030","35120"
"In post","2021","Declared disabled","East of England","Unknown","180","160","28690","28200"
"In post","2021","Declared disabled","London","AA/AO","1380","1250","25110","24900"
"In post","2021","Declared disabled","London","EO","2440","2280","30180","30600"
"In post","2021","Declared disabled","London","G6/G7","2010","1940","60360","59160"
"In post","2021","Declared disabled","London","SCS","280","270","89570","80520"
"In post","2021","Declared disabled","London","SEO/HEO","2800","2710","38630","37780"
"In post","2021","Declared disabled","London","Unknown","300","290","34130","34100"
"In post","2021","Declared disabled","North East (England)","AA/AO","1560","1310","21210","21010"
"In post","2021","Declared disabled","North East (England)","EO","1000","880","27100","27570"
"In post","2021","Declared disabled","North East (England)","G6/G7","130","130","54630","52580"
"In post","2021","Declared disabled","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","SEO/HEO","570","540","34360","32540"
"In post","2021","Declared disabled","North East (England)","Unknown","150","140","29950","28200"
"In post","2021","Declared disabled","North West (England)","AA/AO","2620","2270","21220","21010"
"In post","2021","Declared disabled","North West (England)","EO","2360","2110","26990","27570"
"In post","2021","Declared disabled","North West (England)","G6/G7","400","380","55350","52580"
