"Status","Year","Ethnicity","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","Heterosexual / straight","13020","11900","32610","29080"
"In post","2021","Asian","Female","LGBO","270","240","31330","27570"
"In post","2021","Asian","Female","Undeclared","1060","920","30260","27570"
"In post","2021","Asian","Female","Unknown","1970","1650","30840","27570"
"In post","2021","Asian","Male","Heterosexual / straight","10700","10430","33260","29290"
"In post","2021","Asian","Male","LGBO","310","300","34820","30780"
"In post","2021","Asian","Male","Undeclared","600","580","31910","28790"
"In post","2021","Asian","Male","Unknown","1220","1170","32860","27570"
"In post","2021","Black","Female","Heterosexual / straight","8320","7940","32490","30400"
"In post","2021","Black","Female","LGBO","190","180","32500","29290"
"In post","2021","Black","Female","Undeclared","550","500","31720","29370"
"In post","2021","Black","Female","Unknown","1000","900","31730","30200"
"In post","2021","Black","Male","Heterosexual / straight","4620","4550","33430","31060"
"In post","2021","Black","Male","LGBO","150","140","35820","31060"
"In post","2021","Black","Male","Undeclared","240","230","33090","30780"
"In post","2021","Black","Male","Unknown","540","520","33330","31090"
"In post","2021","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Heterosexual / straight","570","530","36550","31910"
"In post","2021","Chinese","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","Undeclared","60","60","36960","34050"
"In post","2021","Chinese","Female","Unknown","90","80","40670","35440"
"In post","2021","Chinese","Male","Heterosexual / straight","370","370","36360","31810"
"In post","2021","Chinese","Male","LGBO","50","50","37890","32700"
"In post","2021","Chinese","Male","Undeclared","40","40","[c]","[c]"
"In post","2021","Chinese","Male","Unknown","50","50","36100","31810"
"In post","2021","Chinese","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Female","Heterosexual / straight","3790","3560","34180","30210"
"In post","2021","Mixed","Female","LGBO","340","330","34740","30990"
"In post","2021","Mixed","Female","Undeclared","330","300","33120","29290"
"In post","2021","Mixed","Female","Unknown","350","310","34820","30330"
"In post","2021","Mixed","Male","Heterosexual / straight","2590","2540","36720","31880"
"In post","2021","Mixed","Male","LGBO","350","340","36510","31990"
"In post","2021","Mixed","Male","Undeclared","250","240","36360","31060"
"In post","2021","Mixed","Male","Unknown","260","250","36410","31810"
"In post","2021","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Heterosexual / straight","1050","980","35100","31060"
"In post","2021","Other ethnicity","Female","LGBO","70","70","33720","31060"
"In post","2021","Other ethnicity","Female","Undeclared","140","130","39360","32420"
"In post","2021","Other ethnicity","Female","Unknown","160","130","36500","31810"
"In post","2021","Other ethnicity","Male","Heterosexual / straight","780","760","37420","32520"
"In post","2021","Other ethnicity","Male","LGBO","100","100","38800","33480"
"In post","2021","Other ethnicity","Male","Undeclared","170","170","44450","39070"
"In post","2021","Other ethnicity","Male","Unknown","130","130","36370","31650"
"In post","2021","Undeclared","Female","Heterosexual / straight","1330","1210","31580","27570"
"In post","2021","Undeclared","Female","LGBO","100","90","31240","28210"
"In post","2021","Undeclared","Female","Undeclared","5030","4560","33290","29200"
"In post","2021","Undeclared","Female","Unknown","2100","1760","30740","27570"
"In post","2021","Undeclared","Male","Heterosexual / straight","1550","1500","34140","30890"
"In post","2021","Undeclared","Male","LGBO","200","190","34890","30930"
"In post","2021","Undeclared","Male","Undeclared","8200","7920","36780","33170"
"In post","2021","Undeclared","Male","Unknown","2050","1930","34700","31810"
"In post","2021","Unknown","Female","Heterosexual / straight","1780","1570","32470","27580"
"In post","2021","Unknown","Female","LGBO","100","90","34230","30940"
"In post","2021","Unknown","Female","Undeclared","1800","1600","29140","26550"
"In post","2021","Unknown","Female","Unknown","29450","27350","31810","27570"
"In post","2021","Unknown","Male","Heterosexual / straight","1480","1430","34600","30400"
"In post","2021","Unknown","Male","LGBO","130","130","38490","31060"
"In post","2021","Unknown","Male","Undeclared","1260","1200","32680","29350"
"In post","2021","Unknown","Male","Unknown","31060","30330","33730","29250"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Female","Heterosexual / straight","146150","132200","32810","27570"
"In post","2021","White","Female","LGBO","7960","7680","32650","28400"
"In post","2021","White","Female","Undeclared","13800","12170","31700","27570"
"In post","2021","White","Female","Unknown","19770","16570","30530","27570"
"In post","2021","White","Male","Heterosexual / straight","118860","115280","35850","31650"
"In post","2021","White","Male","LGBO","8490","8320","35970","31050"
"In post","2021","White","Male","Undeclared","10160","9690","35270","31650"
"In post","2021","White","Male","Unknown","15190","14310","34880","31650"
"In post","2021","White","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","LGBO","[c]","[c]","[c]","[c]"
