"Status","Year","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","6760","6350","44210","45730"
"In post","2021","Heterosexual / straight","Cabinet Office","4420","4300","47980","40600"
"In post","2021","Heterosexual / straight","Chancellor's other departments","300","290","59480","49940"
"In post","2021","Heterosexual / straight","Charity Commission","230","220","34440","29160"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","690","660","59810","56360"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","7010","6720","43140","40050"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","1250","1230","49660","51730"
"In post","2021","Heterosexual / straight","Department for Education","5500","5300","43710","40230"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","6960","6620","36990","33120"
"In post","2021","Heterosexual / straight","Department for International Trade","1540","1520","46460","41180"
"In post","2021","Heterosexual / straight","Department for Transport","9960","9320","34090","28550"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","60560","54760","28360","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","6810","6350","43820","38890"
"In post","2021","Heterosexual / straight","ESTYN","100","90","58240","74730"
"In post","2021","Heterosexual / straight","Food Standards Agency","860","840","38220","35730"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","5980","5840","47330","41810"
"In post","2021","Heterosexual / straight","HM Land Registry","3550","3210","32090","27130"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","36690","33830","32870","31810"
"In post","2021","Heterosexual / straight","HM Treasury","1950","1900","48030","49580"
"In post","2021","Heterosexual / straight","Home Office","28190","26120","31830","27370"
"In post","2021","Heterosexual / straight","Ministry of Defence","42240","40820","33790","31600"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","2550","2450","45910","42900"
"In post","2021","Heterosexual / straight","Ministry of Justice","55150","51720","29810","26810"
"In post","2021","Heterosexual / straight","National Crime Agency","4100","4010","40070","37560"
"In post","2021","Heterosexual / straight","Northern Ireland Office","80","80","44880","38870"
"In post","2021","Heterosexual / straight","Office for Standards in Education","1430","1380","50180","51360"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","470","460","43010","37370"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","170","160","44970","40250"
"In post","2021","Heterosexual / straight","Office of Rail and Road","170","160","51050","51310"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","720","700","41370","35760"
"In post","2021","Heterosexual / straight","Scotland Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Government","11650","11090","39040","33650"
"In post","2021","Heterosexual / straight","The National Archives","220","210","36510","34220"
"In post","2021","Heterosexual / straight","UK Export Finance","320","320","52510","47230"
"In post","2021","Heterosexual / straight","UK Supreme Court","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","3520","3120","32840","29540"
"In post","2021","Heterosexual / straight","Wales Office","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","90","90","57820","52570"
"In post","2021","Heterosexual / straight","Welsh Government","4670","4400","40760","37410"
"In post","2021","LGBO","Attorney General's Departments","440","420","45230","43920"
"In post","2021","LGBO","Cabinet Office","440","430","44900","40600"
"In post","2021","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","60","60","57440","55860"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","680","670","43590","40050"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","180","180","47100","44850"
