"Status","Year","Disability","Sexual_orientation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","Asian","2290","2110","32020","29080"
"In post","2021","Declared disabled","Heterosexual / straight","Black","1500","1420","32110","30330"
"In post","2021","Declared disabled","Heterosexual / straight","Chinese","50","50","31480","29330"
"In post","2021","Declared disabled","Heterosexual / straight","Mixed","840","790","33360","29270"
"In post","2021","Declared disabled","Heterosexual / straight","Other ethnicity","230","220","35200","31060"
"In post","2021","Declared disabled","Heterosexual / straight","Undeclared","380","350","30750","27690"
"In post","2021","Declared disabled","Heterosexual / straight","Unknown","280","240","30340","26810"
"In post","2021","Declared disabled","Heterosexual / straight","White","31760","29000","31540","27570"
"In post","2021","Declared disabled","LGBO","Asian","100","90","32610","29290"
"In post","2021","Declared disabled","LGBO","Black","90","80","34390","29880"
"In post","2021","Declared disabled","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Mixed","160","160","33360","29290"
"In post","2021","Declared disabled","LGBO","Other ethnicity","50","40","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Undeclared","70","70","30820","27570"
"In post","2021","Declared disabled","LGBO","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","LGBO","White","3510","3370","32670","28200"
"In post","2021","Declared disabled","Undeclared","Asian","180","160","28730","27570"
"In post","2021","Declared disabled","Undeclared","Black","120","110","30980","30330"
"In post","2021","Declared disabled","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Mixed","120","110","33350","29530"
"In post","2021","Declared disabled","Undeclared","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Undeclared","1340","1230","32370","28200"
"In post","2021","Declared disabled","Undeclared","Unknown","100","90","32210","29350"
"In post","2021","Declared disabled","Undeclared","White","3410","3040","30680","27570"
"In post","2021","Declared disabled","Unknown","Asian","200","170","28490","27570"
"In post","2021","Declared disabled","Unknown","Black","110","100","30430","30530"
"In post","2021","Declared disabled","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Mixed","70","60","31990","30100"
"In post","2021","Declared disabled","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Undeclared","250","220","29150","27570"
"In post","2021","Declared disabled","Unknown","Unknown","850","770","31930","28970"
"In post","2021","Declared disabled","Unknown","White","2390","2070","29390","27570"
"In post","2021","Declared non-disabled","Heterosexual / straight","Asian","19260","18140","32810","29080"
"In post","2021","Declared non-disabled","Heterosexual / straight","Black","10340","10000","32770","30620"
"In post","2021","Declared non-disabled","Heterosexual / straight","Chinese","790","760","36500","32180"
"In post","2021","Declared non-disabled","Heterosexual / straight","Mixed","4910","4700","35330","31060"
"In post","2021","Declared non-disabled","Heterosexual / straight","Other ethnicity","1410","1340","35920","31060"
"In post","2021","Declared non-disabled","Heterosexual / straight","Undeclared","1930","1820","32950","28850"
"In post","2021","Declared non-disabled","Heterosexual / straight","Unknown","2070","1920","33420","28590"
"In post","2021","Declared non-disabled","Heterosexual / straight","White","208040","194690","34510","29360"
"In post","2021","Declared non-disabled","LGBO","Asian","410","380","33380","29290"
"In post","2021","Declared non-disabled","LGBO","Black","210","200","32750","29570"
"In post","2021","Declared non-disabled","LGBO","Chinese","50","50","[c]","[c]"
