"Status","Year","Responsibility_level","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Heterosexual / straight","880","820","24300","22650"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","LGBO","50","50","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Undeclared","110","100","23930","22430"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Unknown","230","210","24740","22980"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","2370","2270","25200","22920"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","LGBO","150","150","26320","24750"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","320","300","26560","23200"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Unknown","730","700","26140","25110"
"In post","2021","AA/AO","Cheshire","Heterosexual / straight","740","680","22650","21010"
"In post","2021","AA/AO","Cheshire","LGBO","50","50","24080","24120"
"In post","2021","AA/AO","Cheshire","Undeclared","100","90","23530","21010"
"In post","2021","AA/AO","Cheshire","Unknown","320","290","24050","21550"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Heterosexual / straight","470","430","20830","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Undeclared","70","60","21150","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Unknown","150","130","20850","21010"
"In post","2021","AA/AO","Cumbria","Heterosexual / straight","470","420","22170","21050"
"In post","2021","AA/AO","Cumbria","LGBO","30","30","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Undeclared","60","60","21520","21050"
"In post","2021","AA/AO","Cumbria","Unknown","360","320","21630","21050"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Heterosexual / straight","2280","2070","22110","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","LGBO","150","150","22840","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Undeclared","300","260","21880","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Unknown","1060","950","22040","21010"
