"Status","Year","Age","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Operational Delivery","390","370","21050","20880"
"In post","2021","16-19","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Science and Engineering","40","40","[c]","[c]"
"In post","2021","16-19","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Tax","140","140","20140","20140"
"In post","2021","16-19","AA/AO","Unknown","260","260","21130","21010"
"In post","2021","16-19","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Other","30","30","[c]","[c]"
"In post","2021","16-19","EO","Policy","30","30","[c]","[c]"
"In post","2021","16-19","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Science and Engineering","70","70","18220","17780"
"In post","2021","16-19","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Unknown","60","60","27750","27570"
"In post","2021","16-19","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
