"Status","Year","Sex","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Heterosexual / straight","Commercial","2070","1960","38920","36300"
"In post","2021","Female","Heterosexual / straight","Communications","1580","1500","41540","38540"
"In post","2021","Female","Heterosexual / straight","Corporate Finance","60","60","45090","41600"
"In post","2021","Female","Heterosexual / straight","Counter Fraud","280","250","34210","31070"
"In post","2021","Female","Heterosexual / straight","Digital, Data and Technology","2990","2830","40910","38000"
"In post","2021","Female","Heterosexual / straight","Economics","530","510","47690","49100"
"In post","2021","Female","Heterosexual / straight","Finance","3720","3450","38490","33930"
"In post","2021","Female","Heterosexual / straight","Human Resources","4400","4110","38700","33900"
"In post","2021","Female","Heterosexual / straight","Inspector of Education and Training","520","500","63490","64500"
"In post","2021","Female","Heterosexual / straight","Intelligence Analysis","1150","1070","32900","29250"
"In post","2021","Female","Heterosexual / straight","Internal Audit","300","290","43320","41340"
"In post","2021","Female","Heterosexual / straight","International Trade","370","370","46960","41290"
"In post","2021","Female","Heterosexual / straight","Knowledge and Information Management","900","840","35810","33050"
"In post","2021","Female","Heterosexual / straight","Legal","4650","4250","48850","50520"
"In post","2021","Female","Heterosexual / straight","Medicine","1220","1080","49690","37890"
"In post","2021","Female","Heterosexual / straight","Operational Delivery","65030","58130","28030","25480"
"In post","2021","Female","Heterosexual / straight","Operational Research","320","300","43560","40530"
"In post","2021","Female","Heterosexual / straight","Other","7950","7470","29240","24890"
"In post","2021","Female","Heterosexual / straight","Planning","80","80","45760","40790"
"In post","2021","Female","Heterosexual / straight","Planning Inspectors","100","90","57580","58810"
"In post","2021","Female","Heterosexual / straight","Policy","10970","10500","46190","41760"
"In post","2021","Female","Heterosexual / straight","Project Delivery","6040","5770","40490","37450"
"In post","2021","Female","Heterosexual / straight","Property","1940","1810","35030","33000"
"In post","2021","Female","Heterosexual / straight","Psychology","940","890","35650","31180"
"In post","2021","Female","Heterosexual / straight","Science and Engineering","2790","2580","38080","36150"
"In post","2021","Female","Heterosexual / straight","Security","1220","1170","31980","28750"
"In post","2021","Female","Heterosexual / straight","Social Research","610","570","43210","41760"
"In post","2021","Female","Heterosexual / straight","Statistics","680","640","44190","40640"
"In post","2021","Female","Heterosexual / straight","Tax","4640","4260","34380","31810"
"In post","2021","Female","Heterosexual / straight","Unknown","47800","42400","30040","27570"
"In post","2021","Female","Heterosexual / straight","Veterinarian","170","160","44810","38750"
"In post","2021","Female","LGBO","Commercial","60","60","35350","32850"
"In post","2021","Female","LGBO","Communications","80","70","39570","36780"
"In post","2021","Female","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Digital, Data and Technology","210","210","40070","37130"
"In post","2021","Female","LGBO","Economics","50","50","43250","36150"
"In post","2021","Female","LGBO","Finance","100","100","39000","33930"
"In post","2021","Female","LGBO","Human Resources","150","140","38280","32870"
"In post","2021","Female","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Intelligence Analysis","60","60","32100","29280"
"In post","2021","Female","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Female","LGBO","Legal","170","160","46530","49540"
"In post","2021","Female","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Operational Delivery","3610","3470","28610","25900"
"In post","2021","Female","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Other","270","260","30760","26510"
"In post","2021","Female","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Policy","800","790","44230","39600"
"In post","2021","Female","LGBO","Project Delivery","240","240","39490","35960"
"In post","2021","Female","LGBO","Property","80","70","34040","32010"
"In post","2021","Female","LGBO","Psychology","40","40","[c]","[c]"
"In post","2021","Female","LGBO","Science and Engineering","190","180","35380","31250"
