"Status","Year","Sexual_orientation","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","Commercial","210","200","39540","36780"
"In post","2021","Heterosexual / straight","Asian","Communications","150","150","39740","36660"
"In post","2021","Heterosexual / straight","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Digital, Data and Technology","690","680","42420","38630"
"In post","2021","Heterosexual / straight","Asian","Economics","160","150","44050","39300"
"In post","2021","Heterosexual / straight","Asian","Finance","660","640","40010","36500"
"In post","2021","Heterosexual / straight","Asian","Human Resources","370","350","37200","33870"
"In post","2021","Heterosexual / straight","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Intelligence Analysis","160","160","32700","29310"
"In post","2021","Heterosexual / straight","Asian","Internal Audit","70","60","46900","44310"
"In post","2021","Heterosexual / straight","Asian","International Trade","100","100","42310","38160"
"In post","2021","Heterosexual / straight","Asian","Knowledge and Information Management","100","100","35130","33100"
"In post","2021","Heterosexual / straight","Asian","Legal","720","680","46910","48360"
"In post","2021","Heterosexual / straight","Asian","Medicine","150","140","67330","73920"
"In post","2021","Heterosexual / straight","Asian","Operational Delivery","8440","7780","28070","25630"
"In post","2021","Heterosexual / straight","Asian","Operational Research","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Other","700","670","32350","28670"
"In post","2021","Heterosexual / straight","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Policy","1670","1630","42950","38880"
"In post","2021","Heterosexual / straight","Asian","Project Delivery","710","700","40710","37640"
"In post","2021","Heterosexual / straight","Asian","Property","200","190","37860","33740"
"In post","2021","Heterosexual / straight","Asian","Psychology","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Science and Engineering","450","430","36250","33130"
"In post","2021","Heterosexual / straight","Asian","Security","250","250","30990","28670"
"In post","2021","Heterosexual / straight","Asian","Social Research","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Statistics","120","120","41500","38840"
"In post","2021","Heterosexual / straight","Asian","Tax","1050","1000","32610","31810"
"In post","2021","Heterosexual / straight","Asian","Unknown","6420","5970","29790","27570"
"In post","2021","Heterosexual / straight","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Commercial","150","150","38970","36950"
"In post","2021","Heterosexual / straight","Black","Communications","90","80","39650","37280"
"In post","2021","Heterosexual / straight","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Digital, Data and Technology","350","350","40110","37110"
"In post","2021","Heterosexual / straight","Black","Economics","60","60","37790","33390"
"In post","2021","Heterosexual / straight","Black","Finance","340","330","40030","37150"
"In post","2021","Heterosexual / straight","Black","Human Resources","260","250","38290","35050"
"In post","2021","Heterosexual / straight","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Intelligence Analysis","60","50","33700","30560"
"In post","2021","Heterosexual / straight","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","International Trade","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Knowledge and Information Management","70","60","34320","31000"
"In post","2021","Heterosexual / straight","Black","Legal","320","310","47870","50500"
"In post","2021","Heterosexual / straight","Black","Medicine","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Operational Delivery","4960","4720","29320","27510"
"In post","2021","Heterosexual / straight","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Other","450","430","30540","27750"
"In post","2021","Heterosexual / straight","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Policy","970","960","39190","35070"
"In post","2021","Heterosexual / straight","Black","Project Delivery","450","440","39740","37460"
"In post","2021","Heterosexual / straight","Black","Property","100","90","37030","33740"
"In post","2021","Heterosexual / straight","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Science and Engineering","230","220","35420","33550"
"In post","2021","Heterosexual / straight","Black","Security","100","100","30910","25630"
"In post","2021","Heterosexual / straight","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Statistics","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Tax","350","340","31960","31810"
"In post","2021","Heterosexual / straight","Black","Unknown","3390","3250","30430","31060"
"In post","2021","Heterosexual / straight","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Legal","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Operational Delivery","270","250","28020","25410"
"In post","2021","Heterosexual / straight","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Other","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Policy","100","100","44420","40220"
"In post","2021","Heterosexual / straight","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Science and Engineering","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Tax","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Unknown","150","140","31760","27570"
"In post","2021","Heterosexual / straight","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Commercial","70","70","39130","35180"
"In post","2021","Heterosexual / straight","Mixed","Communications","90","80","42530","39120"
"In post","2021","Heterosexual / straight","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Digital, Data and Technology","160","160","42890","40300"
"In post","2021","Heterosexual / straight","Mixed","Economics","80","70","45600","45660"
"In post","2021","Heterosexual / straight","Mixed","Finance","120","120","41430","38070"
"In post","2021","Heterosexual / straight","Mixed","Human Resources","120","120","40540","36970"
